Resumo
Sequencia;e6 d3 f7 c2 d5 b1 c6 e4 e8 f3 a4 d1 b3 h5 c4 g6 g8 f5 f7 h7 e6 g6 d5 f5 c6 e4 b7 d5 a7 e6 a8 d5 a7 e6 a6 e5 a7 e6 a8 d5 a7 e6 a8 d5 a7 e6 a8 d5 a7 e6 a6 d5 b5 d4 b4 d3 a2 c2 a3 b1
Total de acoes;60
Capturas A;8
Capturas V;8
Vencedor;draw

acao;jogador;jogada;tipo;legais;capturas_A;capturas_V;A_pos;V_pos;A_dentro;V_dentro;A_peca;V_peca;tabuleiro
1;A;e6;king;1;0;0;(2, 4);(4, 3);False;False;;; Dp p pP/  p pBpp/  ppApp /P pp pCp/pCpVpp P/ pp pp  /ppBp p  /Pp p pD 
2;V;d3;king;1;0;0;(2, 4);(5, 3);False;False;;; Dp p pP/  p pBpp/  ppApp /P pp pCp/pCp pp P/ ppVpp  /ppBp p  /Pp p pD 
3;A;f7;king;3;0;0;(1, 5);(5, 3);True;False;B;; Dp p pP/  p pApp/  pp pp /P pp pCp/pCp pp P/ ppVpp  /ppBp p  /Pp p pD 
4;V;c2;king;3;0;0;(1, 5);(6, 2);True;True;B;B; Dp p pP/  p pApp/  pp pp /P pp pCp/pCp pp P/ pp pp  /ppVp p  /Pp p pD 
5;A;d5;capture;6;1;0;(3, 3);(6, 2);True;True;B;B; Dp p pP/  p p pp/  pp pp /P pA pCp/pCp pp P/ pp pp  /ppVp p  /Pp p pD 
6;V;b1;capture;5;1;1;(3, 3);(7, 1);True;True;B;B; Dp p pP/  p p pp/  pp pp /P pA pCp/pCp pp P/ pp pp  /pp p p  /PV p pD 
7;A;c6;capture;7;2;1;(2, 2);(7, 1);True;True;B;B; Dp p pP/  p p pp/  Ap pp /P p  pCp/pCp pp P/ pp pp  /pp p p  /PV p pD 
8;V;e4;capture;4;2;2;(2, 2);(4, 4);True;True;B;B; Dp p pP/  p p pp/  Ap pp /P p  pCp/pCp Vp P/ pp pp  /pp p p  /P  p pD 
9;A;e8;capture;6;3;2;(0, 4);(4, 4);True;True;B;B; Dp A pP/  p p pp/   p pp /P p  pCp/pCp Vp P/ pp pp  /pp p p  /P  p pD 
10;V;f3;capture;6;3;3;(0, 4);(5, 5);True;True;B;B; Dp A pP/  p p pp/   p pp /P p  pCp/pCp  p P/ pp pV  /pp p p  /P  p pD 
